iter	Passed	Remaining
734	4125	1487
735	4130	1481
736	4137	1476
737	4144	1471
738	4150	1465
739	4156	1460
740	4162	1454
741	4168	1449
742	4174	1443
743	4179	1438
744	4185	1432
745	4191	1426
746	4197	1421
747	4203	1416
748	4209	1410
749	4215	1405
750	4220	1399
751	4225	1393
752	4232	1388
753	4239	1383
754	4245	1377
755	4249	1371
756	4254	1365
757	4260	1360
758	4265	1354
759	4270	1348
760	4274	1342
761	4279	1336
762	4283	1330
763	4288	1324
764	4294	1319
765	4300	1313
766	4305	1307
767	4310	1302
768	4316	1296
769	4321	1290
770	4326	1285
771	4331	1279
772	4337	1273
773	4342	1268
774	4348	1262
775	4352	1256
776	4372	1254
777	4378	1249
778	4386	1244
779	4393	1239
780	4398	1233
781	4404	1227
782	4409	1222
783	4414	1216
784	4419	1210
785	4425	1204
786	4430	1199
787	4435	1193
788	4441	1187
789	4446	1181
790	4450	1175
791	4456	1170
792	4461	1164
793	4466	1158
794	4471	1152
795	4475	1147
796	4480	1141
797	4486	1135
798	4492	1130
799	4496	1124
800	4502	1118
801	4507	1112
802	4513	1107
803	4519	1101
804	4525	1096
805	4532	1090
806	4537	1085
807	4542	1079
808	4547	1073
809	4552	1067
810	4560	1062
811	4565	1057
812	4570	1051
813	4575	1045
814	4580	1039
815	4586	1034
816	4592	1028
817	4597	1022
818	4602	1017
819	4608	1011
820	4614	1006
821	4620	1000
822	4625	994
823	4630	989
824	4635	983
825	4640	977
826	4646	971
827	4651	966
828	4656	960
829	4662	954
830	4666	949
831	4671	943
832	4676	937
833	4682	932
834	4687	926
835	4692	920
836	4697	914
837	4702	909
838	4708	903
839	4715	898
840	4721	892
841	4727	887
842	4732	881
843	4737	875
844	4744	870
845	4751	864
846	4757	859
847	4762	853
848	4766	847
849	4772	842
850	4777	836
851	4782	830
852	4786	824
853	4791	819
854	4796	813
855	4801	807
856	4808	802
857	4814	796
858	4820	791
859	4825	785
860	4830	779
861	4835	774
862	4842	768
863	4846	762
864	4852	757
865	4857	751
866	4861	745
867	4866	740
868	4872	734
869	4878	728
870	4883	723
871	4887	717
872	4893	711
873	4900	706
874	4906	700
875	4913	695
876	4919	689
877	4923	684
878	4929	678
879	4935	673
880	4941	667
881	4947	661
882	4952	656
883	4957	650
884	4962	644
885	4967	639
886	4973	633
887	4978	627
888	4982	622
889	4987	616
890	4992	610
891	4998	605
892	5004	599
893	5009	593
894	5014	588
895	5019	582
896	5024	576
897	5030	571
898	5036	565
899	5040	560
900	5046	554
901	5051	548
902	5056	543
903	5061	537
904	5067	531
905	5073	526
906	5078	520
907	5083	515
908	5087	509
909	5094	503
910	5099	498
911	5105	492
912	5114	487
913	5119	481
914	5125	476
915	5131	470
916	5136	464
917	5142	459
918	5147	453
919	5153	448
920	5160	442
921	5165	436
922	5172	431
923	5180	426
924	5189	420
925	5199	415
926	5207	410
927	5213	404
928	5220	398
929	5228	393
930	5235	388
931	5240	382
932	5246	376
933	5254	371
934	5259	365
935	5265	360
936	5271	354
937	5275	348
938	5280	343
939	5286	337
940	5291	331
941	5297	326
942	5302	320
943	5307	314
944	5312	309
945	5317	303
946	5323	297
947	5328	292
948	5334	286
949	5338	280
950	5343	275
951	5349	269
952	5354	264
953	5359	258
954	5372	253
955	5382	247
956	5393	242
957	5400	236
958	5407	231
959	5413	225
960	5419	219
961	5424	214
962	5430	208
963	5435	202
964	5440	197
965	5446	191
966	5453	186
967	5459	180
968	5464	174
969	5469	169
970	5473	163
971	5480	157
972	5484	152
973	5489	146
974	5494	140
975	5500	135
976	5505	129
977	5511	123
978	5517	118
979	5522	112
980	5528	107
981	5533	101
982	5538	95
983	5545	90
984	5550	84
985	5555	78
986	5560	73
987	5564	67
988	5569	61
989	5575	56
990	5583	50
991	5588	45
992	5592	39
993	5597	33
994	5602	28
995	5609	22
996	5615	16
997	5620	11
998	5625	5
999	5630	0
